Course Code,Course Title,Units,Terms Offered,Description
COMPSCI C8,Foundations of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session, Spring 2023, Fall 2022, Spring 2022, Fall 2021, Summer 2021 8 Week Session, Fall 2020","Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference"
COMPSCI 9A,Matlab for Programmers,2 Units,"Terms offered: Fall 2018, Spring 2018, Fall 2017","Introduction to the constructs in the Matlab programming language, aimed at students who already know how to program. Array and matrix operations, functions and function handles, control flow, plotting and image manipulation, cell arrays and structures, and the Symbolic Mathematics toolbox."
COMPSCI 9C,C for Programmers,2 Units,"Terms offered: Spring 2019, Fall 2018, Spring 2018","Self-paced course in the C programming language for students who already know how to program. Computation, input and output, flow of control, functions, arrays, and pointers, linked structures, use of dynamic storage, and implementation of abstract data types."
COMPSCI 9D,Scheme and Functional Programming for Programmers,2 Units,"Terms offered: Spring 2016, Fall 2015, Spring 2015","Self-paced course in functional programming, using the Scheme programming language, for students who already know how to program. Recursion; higher-order functions; list processing; implementation of rule-based querying."
COMPSCI 9E,Productive Use of the UNIX Environment,2 Units,"Terms offered: Spring 2019, Fall 2018, Spring 2018","Use of UNIX utilities and scripting facilities for customizing the programming environment, organizing files (possibly in more than one computer account), implementing a personal database, reformatting text, and searching for online resources."
COMPSCI 9F,C++ for Programmers,2 Units,"Terms offered: Spring 2019, Fall 2018, Spring 2018","Self-paced introduction to the constructs provided in the C++ programming language for procedural and object-oriented programming, aimed at students who already know how to program."
COMPSCI 9G,JAVA for Programmers,2 Units,"Terms offered: Spring 2019, Fall 2018, Spring 2018","Self-paced course in Java for students who already know how to program. Applets; variables and computation; events and flow of control; classes and objects; inheritance; GUI elements; applications; arrays, strings, files, and linked structures; exceptions; threads."
COMPSCI 9H,Python for Programmers,2 Units,"Terms offered: Spring 2019, Fall 2018, Spring 2018","Introduction to the constructs provided in the Python programming language, aimed at students who already know how to program. Flow of control; strings, tuples, lists, and dictionaries; CGI programming; file input and output; object-oriented programming; GUI elements."
COMPSCI 10,The Beauty and Joy of Computing,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. Topics include abstraction, recursion, algorithmic"
COMPSCI W10,The Beauty and Joy of Computing,4 Units,Terms offered: Fall 2012,"This course meets the programming prerequisite for 61A. An introduction to the beauty and joy of computing. The history, social implications, great principles, and future of computing. Beautiful applications that have changed the world. How computing empowers discovery and progress in other fields. Relevance of computing to the student and society will be emphasized. Students will learn the joy of programming a computer using a friendly, graphical language, and will"
COMPSCI 36,CS Scholars Seminar: The Educational Climate in CS & CS61A technical discussions,2 Units,"Terms offered: Fall 2019, Fall 2018, Spring 2018","Computer Science 36 is a seminar for CS Scholars who are concurrently taking CS61A: The Structure and Interpretation of Computer Programs. CS Scholars is a cohort-model program to provide support in exploring and potentially declaring a CS major for students with little to no computational background prior to coming to the university. CS 36 provides an introduction to the CS curriculum at UC Berkeley, and the overall CS landscape in both industry"
COMPSCI 39,Freshman/Sophomore Seminar,1.5 - 2 Units,"Terms offered: Fall 2023, Spring 2022, Spring 2019","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39J,Freshman/Sophomore Seminar,1.5 - 4 Units,"Terms offered: Fall 2010, Spring 2010, Fall 2009","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39K,Freshman/Sophomore Seminar,1.5 - 4 Units,"Terms offered: Spring 2013, Spring 2011, Spring 2010","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39M,Freshman/Sophomore Seminar,1.5 - 4 Units,Terms offered: Fall 2008,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39N,Freshman/Sophomore Seminar,1.5 - 4 Units,"Terms offered: Fall 2010, Fall 2009","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39P,Freshman/Sophomore Seminar,1.5 - 4 Units,"Terms offered: Fall 2013, Spring 2013, Fall 2012","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39Q,Freshman/Sophomore Seminar,1.5 - 4 Units,Terms offered: Fall 2011,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 39R,Freshman/Sophomore Seminar,1.5 - 4 Units,"Terms offered: Spring 2016, Spring 2013","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
COMPSCI 47A,Completion of Work in Computer Science 61A,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Implementation of generic operations. Streams and iterators. Implementation techniques for supporting functional, object-oriented, and constraint-based programming in the Scheme programming language. Together with 9D, 47A constitutes an abbreviated, self-paced version of 61A for students who have already taken a course equivalent to 61B."
COMPSCI 47B,Completion of Work in Computer Science 61B,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of"
COMPSCI 47C,Completion of Work in Computer Science 61C,1 Unit,"Terms offered: Spring 2024, Fall 2023, Spring 2023","MIPS instruction set simulation. The assembly and linking process. Caches and virtual memory. Pipelined computer organization. Students with sufficient partial credit in 61C may, with consent of instructor, complete the credit in this self-paced course."
COMPSCI 61A,The Structure and Interpretation of Computer Programs,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming"
COMPSCI 61B,Data Structures,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language."
COMPSCI 61BL,Data Structures and Programming Methodology,4 Units,"Terms offered: Summer 2023 8 Week Session, Summer 2022 8 Week Session, Summer 2021 8 Week Session","The same material as in 61B, but in a laboratory-based format."
COMPSCI 61C,Great Ideas of Computer Architecture (Machine Structures),4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions."
COMPSCI 61CL,Machine Structures (Lab-Centric),4 Units,"Terms offered: Fall 2009, Spring 2009, Fall 2008",The same material as in 61C but in a lab-centric format.
COMPSCI W61A,The Structure and Interpretation of Computer Programs (Online),4 Units,Terms offered: Summer 2019 8 Week Session,"An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional"
COMPSCI 70,Discrete Mathematics and Probability Theory,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference."
COMPSCI C79,Societal Risks and the Law,3 Units,Terms offered: Spring 2013,"Defining, perceiving, quantifying and measuring risk; identifying risks and estimating their importance; determining whether laws and regulations can protect us from these risks; examining how well existing laws work and how they could be improved; evaluting costs and benefits. Applications may vary by term. This course cannot be used to complete engineering unit or technical elective requirements for students in the College of Engineering."
COMPSCI 84,Sophomore Seminar,1 or 2 Units,Terms offered: Fall 2007,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
